"a-profile-name","a-icon-alt","a-size-base","a-size-base 2","a-size-mini","a-size-base 3","a-size-base 4","a-button-text href","cr-helpful-text","a-size-base 5","a-size-base href 2","a-size-base 6","review-comment-count","a-alert-heading"
"Brian E.","5.0 颗星，最多 5 颗星","A must read","2022年6月24日 在美国审核","已确认购买","Peter Schweitzer did it again. Great work.","报告","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhCD6xn2KmWtQkJ8tr21On0z6TdwaH%252FzcXQAq4k1SpWFBAAAAAGQvyooAAAAB%26reviewId%3DR3OM4TALQ8J0ME&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hCD6xn2KmWtQkJ8tr21On0z6TdwaH%2FzcXQAq4k1SpWFBAAAAAGQvyooAAAAB&reviewId=R3OM4TALQ8J0ME","","0","当前加载评论时遇到问题。请稍后再试。"
"Bruce Siler","5.0 颗星，最多 5 颗星","Truth be known!","2022年5月27日 在美国审核","已确认购买","Read the truth here, something’s you don’t see on the regular news!","报告","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhEN1ksUCn6sBjl6O5BnyyBoiKmLYoF45JAw4j6L%252BhFfwAAAAAGQvyooAAAAB%26reviewId%3DR3J2LRTTA2Q2E6&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hEN1ksUCn6sBjl6O5BnyyBoiKmLYoF45JAw4j6L%2BhFfwAAAAAGQvyooAAAAB&reviewId=R3J2LRTTA2Q2E6","","0","当前加载评论时遇到问题。请稍后再试。"
"G-Man","5.0 颗星，最多 5 颗星","What an EYEOPENER","2022年4月12日 在美国审核","已确认购买","We all know how corrupt politicians are, however, this book will open your eyes WIDEA dry but informative and disturbing read.","报告","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhFdHDtyp%252Fc%252BkaVGuwEn3TWyQ3zGDHqEjC7hkVOTZRGCWAAAAAGQvyooAAAAB%26reviewId%3DR33R0V0108KWR9&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hFdHDtyp%2Fc%2BkaVGuwEn3TWyQ3zGDHqEjC7hkVOTZRGCWAAAAAGQvyooAAAAB&reviewId=R33R0V0108KWR9","","0","当前加载评论时遇到问题。请稍后再试。"
"Karen Alexander","5.0 颗星，最多 5 颗星","An Exceptional Read","2022年3月31日 在美国审核","已确认购买","Every American should read this book. Know your leaders—and vote accordingly. The Uyghurs are the canary in the coal mine, ignore their plight at your own risk.","1 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhIwR%252BN4QxEz3AZI0Ge4RDysBQjmpc89vhZ1pD6QU0AnNAAAAAGQvyooAAAAB%26reviewId%3DR2I16ODGVVXNJM&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hIwR%2BN4QxEz3AZI0Ge4RDysBQjmpc89vhZ1pD6QU0AnNAAAAAGQvyooAAAAB&reviewId=R2I16ODGVVXNJM","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Just the truth please!","5.0 颗星，最多 5 颗星","Term Limits a must!","2022年4月1日 在美国审核","已确认购买","As we already knew, Red Handed really nails home the need to dismantle and rebuild our government. Start with term limits and end with small budgets.","报告","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhCGnwBRdsGrEllJy04HPK8bwCwO5i0UvLPxFDm8461WJAAAAAGQvyooAAAAB%26reviewId%3DRY7UOUUGDPATT&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hCGnwBRdsGrEllJy04HPK8bwCwO5i0UvLPxFDm8461WJAAAAAGQvyooAAAAB&reviewId=RY7UOUUGDPATT","","0","当前加载评论时遇到问题。请稍后再试。"
"Dick jammin","5.0 颗星，最多 5 颗星","Great book, very informative","2022年3月16日 在美国审核","已确认购买","Really makes sense of alotta what the elites in this country and others are doing and it involves Republicans and democrats and everybody should read it at some point","1 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhKq0neHH6maodSxaXbIfNOxDXIym10PStc0bfhChIRcQAAAAAGQvyooAAAAB%26reviewId%3DR39772AXR6AND0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hKq0neHH6maodSxaXbIfNOxDXIym10PStc0bfhChIRcQAAAAAGQvyooAAAAB&reviewId=R39772AXR6AND0","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"tim","5.0 颗星，最多 5 颗星","Terrific and Alarming","2022年3月6日 在美国审核","已确认购买","I thought the Chinese were stealing our technology. I didn’t know they were openly contracting American companies to help their military and intelligence apparatus…I wish I could buy stock in hypocrisy….","2 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhE1g54Rt1KsaxDhh6QOTSimCPjd4i3bGkeCTtLS4nCPaAAAAAGQvyooAAAAB%26reviewId%3DRXAB45W1QPWI8&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hE1g54Rt1KsaxDhh6QOTSimCPjd4i3bGkeCTtLS4nCPaAAAAAGQvyooAAAAB&reviewId=RXAB45W1QPWI8","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"James Timmins","5.0 颗星，最多 5 颗星","Must Read","2022年3月8日 在美国审核","已确认购买","Peter Schweizer chronicles the last 50 years in the rise of Communist China and its enabling by our government, tech, finance, and political elites. It has been a bipartisan endeavor.","2 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhBbWBuqTZrQoEyNgVfR6f40B61XajBokEmnRH%252Bgfw5k7AAAAAGQvyooAAAAB%26reviewId%3DR8SQ6SR7V3KA0&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hBbWBuqTZrQoEyNgVfR6f40B61XajBokEmnRH%2Bgfw5k7AAAAAGQvyooAAAAB&reviewId=R8SQ6SR7V3KA0","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Alex Noorzad","5.0 颗星，最多 5 颗星","Every American Must read this book","2022年2月24日 在美国审核","已确认购买","Well researched, well organized,This book exposes the elites who are selling the United States to China for a very low price.Wake Up America. Please read this book & pass it on.","2 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhIS3X7DUU3QSC0rR89nayNxqHPiqRYE7JHQ3w1iBPE9AAAAAAGQvyowAAAAB%26reviewId%3DR3U99M2SZY4IA&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hIS3X7DUU3QSC0rR89nayNxqHPiqRYE7JHQ3w1iBPE9AAAAAAGQvyowAAAAB&reviewId=R3U99M2SZY4IA","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"John N","5.0 颗星，最多 5 颗星","Read it get educated","2022年6月5日 在美国审核","已确认购买","They are stealing our country.Read how….","1 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhD6o5B1j9OY1Nbt%252BFoXk6yo5c2h9yZ9kXBpENMZ2zGLBAAAAAGQvyowAAAAB%26reviewId%3DRIZSRASGSD686&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hD6o5B1j9OY1Nbt%2BFoXk6yo5c2h9yZ9kXBpENMZ2zGLBAAAAAGQvyowAAAAB&reviewId=RIZSRASGSD686","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Trever McKay","3.0 颗星，最多 5 颗星","An initial egregious error","2022年2月11日 在美国审核","已确认购买","I like the book and the work that went into it. But did no one, I mean no one, catch the error on page 6 where he states ""They are currently on display in Nanjing province, where they are violently repressing millions.""?!?! First of all, Nanjing is a city (the capital of Jiangsu province), not a province. He should have written ""Xinjiang,"" which is where the Uighurs live. It bothers me that such a blatant error got through so many levels of writing and editing...","13 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhKV7IQa5L2TGyneGFQgnPGJVcqmLDFZLQ0fuCIRG4QGpAAAAAGQvyowAAAAB%26reviewId%3DR16OOVW5E68GY5&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hKV7IQa5L2TGyneGFQgnPGJVcqmLDFZLQ0fuCIRG4QGpAAAAAGQvyowAAAAB&reviewId=R16OOVW5E68GY5","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Charles L. Davidson","5.0 颗星，最多 5 颗星","Well documented fact-filled book. RECOMMENDED","2022年4月9日 在美国审核","已确认购买","This book, irrespective of its title was not at all sensationalistic. It was factually supported by carefully researched documentation. HIGHLY RECOMMEND!","报告","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhLiKGkM6p61TO5oOsjw4JOEZ5L2O0Bd7c9U2LGJwQ4oIAAAAAGQvyowAAAAB%26reviewId%3DR3ANN37JZWYUMR&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hLiKGkM6p61TO5oOsjw4JOEZ5L2O0Bd7c9U2LGJwQ4oIAAAAAGQvyowAAAAB&reviewId=R3ANN37JZWYUMR","","0","当前加载评论时遇到问题。请稍后再试。"
"e.rousseau@verizon.net","5.0 颗星，最多 5 颗星","A MUST read!!!","2022年4月7日 在美国审核","已确认购买","I could not put this book down. I was aware of the corruption in our government, but this definitely opened my eyes.","报告","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhHXccNPKNCLGVt51hkLIgQDY6Ar6LmnZepxnmVFFaPEJAAAAAGQvyowAAAAB%26reviewId%3DR1SLXDTNB2ERXF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hHXccNPKNCLGVt51hkLIgQDY6Ar6LmnZepxnmVFFaPEJAAAAAGQvyowAAAAB&reviewId=R1SLXDTNB2ERXF","","0","当前加载评论时遇到问题。请稍后再试。"
"a gonzalez","5.0 颗星，最多 5 颗星","Tragic","2022年2月17日 在美国审核","已确认购买","So much information on these “elites” on both sides of the aisle that sell their allegiance and integrity for blood money. I hope to God thay will reap what they have sown. Inshallah.","6 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhLgUmxz0tEo2q9%252BE5eA%252Bpn5DCjMKC4zkmvvLN48ACJfQAAAAAGQvyowAAAAB%26reviewId%3DR3V4E80MOZEJQC&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hLgUmxz0tEo2q9%2BE5eA%2Bpn5DCjMKC4zkmvvLN48ACJfQAAAAAGQvyowAAAAB&reviewId=R3V4E80MOZEJQC","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Gregory D. Maier","5.0 颗星，最多 5 颗星","Pay attention to the China threat","2022年3月29日 在美国审核","已确认购买","Schweitzer paints a clear picture of the corrupting influence of the China threat. This should be required reading for college students and our elites.","报告","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhJd62DmJ0tULftgxSje%252FyZ3VDAMPcAsyMchphgog4AOeAAAAAGQvyowAAAAB%26reviewId%3DR1A7WEOARRS2MF&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hJd62DmJ0tULftgxSje%2FyZ3VDAMPcAsyMchphgog4AOeAAAAAGQvyowAAAAB&reviewId=R1A7WEOARRS2MF","","0","当前加载评论时遇到问题。请稍后再试。"
"Gimmicky","5.0 颗星，最多 5 颗星","Must read","2022年4月25日 在美国审核","已确认购买","Great look inside how both parties are at fault for what is happening to this country.","报告","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhAqazYpPAx50znWyGSTmntTnN3EiKoIbzti0GBSmVPW6AAAAAGQvyowAAAAB%26reviewId%3DRGNRSTKY1ADE2&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","显示条评论","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hAqazYpPAx50znWyGSTmntTnN3EiKoIbzti0GBSmVPW6AAAAAGQvyowAAAAB&reviewId=RGNRSTKY1ADE2","","0","当前加载评论时遇到问题。请稍后再试。"
"Lynn","5.0 颗星，最多 5 颗星","Read it","2022年3月4日 在美国审核","已确认购买","I've read several of his books...he is a great investigative reporter...he exposes how the very rich & well connected get away with bad behavior over & over","2 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhNV%252Fg%252FbrgPC%252FYz4tMqj%252FJGgWDoFF3NkC9xLkRVr1om1OAAAAAGQvyowAAAAB%26reviewId%3DR3RBPUN9KVY0GT&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hNV%2Fg%2FbrgPC%2FYz4tMqj%2FJGgWDoFF3NkC9xLkRVr1om1OAAAAAGQvyowAAAAB&reviewId=R3RBPUN9KVY0GT","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"George Mugno","5.0 颗星，最多 5 颗星","Eye opening and disturbing","2022年3月19日 在美国审核","已确认购买","That Beijing's tendrils are so pervasive throughout our political, educational and technical institutions is highly disturbing. I'll approach elections and investments with a new mindset.","2 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhCDux%252FaYhgbQV62CtZYZFzyttbmstgfnqU9sH9uRc9bwAAAAAGQvyowAAAAB%26reviewId%3DR14DA33DOH08MI&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hCDux%2FaYhgbQV62CtZYZFzyttbmstgfnqU9sH9uRc9bwAAAAAGQvyowAAAAB&reviewId=R14DA33DOH08MI","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Sharon","5.0 颗星，最多 5 颗星","Good read","2022年3月18日 在美国审核","已确认购买","Unfortunately this is the truth . sad that our  country is in bed with china  need to rid our government of these i","1 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhBec9NoGlmXaV%252F5iiOSVR%252F%252BDAcI5tz1jyeUt2lH1TsiwAAAAAGQvyo0AAAAB%26reviewId%3DRLB0XQT3CDO4X&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hBec9NoGlmXaV%2F5iiOSVR%2F%2BDAcI5tz1jyeUt2lH1TsiwAAAAAGQvyo0AAAAB&reviewId=RLB0XQT3CDO4X","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
"Kindle Customer","5.0 颗星，最多 5 颗星","Redhanded","2022年2月20日 在美国审核","已确认购买","Would totally recommend this book. Very timely. Particularly with what is going on in the world right now:  Olympics, Truckers in Ottawa vs Trudeau and Biden family i.e. Winter's laptop.","3 个人发现此评论有用","https://www.amazon.com/ap/signin?openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fproduct-reviews%2F0063061147%2Fref%3Dcm_cr_getr_d_vote_lft%3Fie%3DUTF8%26reviewerType%3Dall_reviews%26pageSize%3D10%26csrfT%3DhP2T8uGNBgyp%252BTNlOkdqDzLlUWA%252BQZsukbvIRNzKqjo9AAAAAGQvyo0AAAAB%26reviewId%3DR2DJXZ1X7WRL6U&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&marketPlaceId=ATVPDKIKX0DER&language=zh&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0","有帮助","报告","https://www.amazon.com/hz/reviews-render/report-review?ie=UTF8&ref=cm_cr_getr_d_rvw_hlp&csrfT=hP2T8uGNBgyp%2BTNlOkdqDzLlUWA%2BQZsukbvIRNzKqjo9AAAAAGQvyo0AAAAB&reviewId=R2DJXZ1X7WRL6U","显示条评论","0","当前加载评论时遇到问题。请稍后再试。"
